date,ToyotaPrius,ToyotaCamry,HondaCivic,FordFusion,LexusRX400h,ToyotaPriusC,ToyotaHighlander,ToyotaPriusV,FordEscape,HyundaiSonata,HondaInsight,LexusCT200h,FordC-MaxHybrid,HondaAccord,LexusESHybrid,KiaOptimaHybrid,ToyotaAvalonHybrid,FordLincolnMKZ,ChevyMalibu,NissanAltima,BuickLacrosse,HondaCR-Z,LexusHS250h,MercuryMariner,SaturnVue,ChevyTahoe,VolkswagenJettaHybrid,NissanInfinitiQ50,LexusGS450h,BuickRegal,GMCYukon,CadillacEscalade,ChevroletSierra/Silverado,SubaruXVCrosstrek,NissanPathfinderHybrid,NissanInfinitiQX60,PorscheCayenne,LexusNXHybrid,MercuryMilan,AcuraILXHybrid,LexusLS600hL,NissanInfinitiM35h,SaturnAura,AudiQ5Hybrid,ToyotaRAV4,BMWActiveHybrid3(335ih),MercedesS400,MazdaTribute,BMWActiveHybrid5(535ih),ChevyImpalaHybrid,VWTouaregHybrid,BMWActiveHybrid7,PorschePanameraS,MercedesML450h,MercedesE400H,AcuraRLX,BMWX6,ChryslerAspen,GMCSierra,DodgeDurango
1999,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5562,0,0,0,0,0,0,0,0,0,3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,15556,0,0,0,0,0,0,0,0,0,4726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,20119,0,13700,0,0,0,0,0,0,0,2216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,24600,0,21800,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,53991,0,25571,0,0,0,0,0,2993,0,583,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,107897,0,25864,0,20674,0,17989,0,18797,0,666,0,0,16826,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,106971,31341,31251,0,20161,0,31485,0,20149,0,722,0,0,5598,0,0,0,0,0,0,0,0,0,3174,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,181221,54477,32575,0,17291,0,22052,0,21386,0,0,0,0,3405,0,0,0,0,0,8388,0,0,0,3722,4403,0,0,0,1645,0,0,0,0,0,0,0,0,0,0,0,937,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2008,158574,46272,31297,0,15200,0,19441,0,17173,0,0,0,0,196,0,0,0,0,2093,8819,0,0,0,2329,2920,3745,0,0,678,0,1610,801,,0,0,0,0,0,0,0,907,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
